,,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-02-01,2021-02-01,2021-02-01,2021-03-01,2021-03-01,2021-03-01,2021-03-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01,2021-08-01,2021-08-01,2021-08-01,2021-08-01
Cuenta,Cuenta,Mov. 02/01/2021 a 31/01/2021,Mov. 02/01/2021 a 31/01/2021,Saldos a 31/01/1,Saldos a 31/01/1,Mov. 01/02/2021 a 28/02/2021,Mov. 01/02/2021 a 28/02/2021,Saldos a 28/02/2021,Mov. 01/03/2021 a 31/03/2021,Mov. 01/03/2021 a 31/03/2021,Saldos a 31/03/2021,Saldos a 31/03/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,c vvvvvv,c vvvvvv
Cód.,Nombre,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,
513505,Aseo y vigilancia,,0,,,30000,0,30000,0,0,30000,,0,0,30000,,0,0,30000,,0,0,30000,,30000,0,60000,,0,0,60000,
513510,Temporales,2572000,0,2572000,,1535000,0,4107000,2005500,0,6112500,,1975000,0,8087500,,1655500,0,9743000,,1833500,0,11576500,,1832000,0,13408500,,1999500,0,15408000,
513520,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
513525,Acueducto y alcantarillado,61030,0,61030,,146724,0,207754,74320,0,282074,,155552,0,437626,,69830,0,507456,,94890,0,602346,,94830,0,697176,,63680,0,760856,
513530,Energía eléctrica,102021,0,102021,,0,0,102021,92898,0,194919,,100130,0,295049,,109685,0,404734,,88575,0,493309,,98168,0,591477,,100276,0,691753,
513535,Teléfono fijo y moviles,151079,0,151079,,150096,0,301175,293007,0,594182,,151079,0,745261,,215566,0,960827,,210079,0,1170906,,302158,0,1473064,,283178,0,1756242,
513540,Correo portes y telegrama,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
513595,Otros ,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
513550,"Transportes, fletes y acarreos",,0,,,0,0,,0,0,,,0,0,,,0,0,,,50000,0,50000,,0,0,50000,,0,0,50000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5140,Gastos legales,180000,0,180000,,,0,180000,5900,0,185900,,,0,185900,,,0,185900,,,0,185900,,5900,0,191800,,80000,0,271800,
514005,Notariales,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
514010,Registro mercantil,0,0,,,0,0,,5900,0,5900,,0,0,5900,,0,0,5900,,,0,5900,,5900,0,11800,,0,0,11800,
514015,Trámites y licencias,180000,0,180000,,0,0,180000,0,0,180000,,0,0,180000,,0,0,180000,,0,0,180000,,0,0,180000,,80000,0,260000,
514095,Otros,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5145,Mantenimiento y reparaciones,199000,0,199000,,566465,0,765465,1153513,0,1918978,,4011924,0,5930902,,414071,0,6344973,,2214231,0,8559204,,1515810,0,10075014,,1454402,0,11529416,
514510,construcciones y edificaciones,,,,,,,,,,,,12500,,12500,,0,,,,0,,,,12500,,,,0,,,
514515,Maquinaria y equipo,199000,0,199000,,211465,0,410465,1071513,0,1481978,,3999424,0,5481402,,414071,0,5895473,,2214231,0,8109704,,1035810,0,9145514,,1452402,0,10597916,
514520,Equipo de oficina,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
514525,Equipo de computación y comunicación,0,0,,,15000,0,15000,0,0,15000,,0,0,15000,,0,0,15000,,0,0,15000,,400000,0,415000,,0,0,415000,
514540,Flota y equipo de transportes,,0,,,340000,0,340000,82000,0,422000,,0,0,422000,,0,0,422000,,0,0,422000,,80000,0,502000,,2000,0,504000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
